"period","asset","leverage_pct","gamma","statistic","paper","diagnosed_numerical_exception","exception_reason"
"1996-2000","SPX options",2,1,"mean_ann",9.05,FALSE,""
"1996-2000","SPX options",2,1,"sd_ann",2.71,FALSE,""
"1996-2000","SPX options",2,1,"sharpe_ann",3.34,FALSE,""
"1996-2000","SPX options",2,1,"alpha_ann",9.33,FALSE,""
"1996-2000","SPX options",2,1,"beta",-0.03,FALSE,""
"1996-2000","SPX options",2,1,"hsd_ann",2.68,FALSE,""
"1996-2000","SPX options",2,1,"appraisal_ann",3.48,FALSE,""
"1996-2000","SPX options",2,3,"mean_ann",8.15,FALSE,""
"1996-2000","SPX options",2,3,"sd_ann",3.19,FALSE,""
"1996-2000","SPX options",2,3,"sharpe_ann",2.55,FALSE,""
"1996-2000","SPX options",2,3,"alpha_ann",8.76,FALSE,""
"1996-2000","SPX options",2,3,"beta",-0.06,FALSE,""
"1996-2000","SPX options",2,3,"hsd_ann",3.08,FALSE,""
"1996-2000","SPX options",2,3,"appraisal_ann",2.84,FALSE,""
"1996-2000","SPX options",2,5,"mean_ann",7.48,FALSE,""
"1996-2000","SPX options",2,5,"sd_ann",3.37,FALSE,""
"1996-2000","SPX options",2,5,"sharpe_ann",2.22,FALSE,""
"1996-2000","SPX options",2,5,"alpha_ann",8.25,FALSE,""
"1996-2000","SPX options",2,5,"beta",-0.07,FALSE,""
"1996-2000","SPX options",2,5,"hsd_ann",3.2,FALSE,""
"1996-2000","SPX options",2,5,"appraisal_ann",2.57,FALSE,""
"1996-2000","SPX options",3,1,"mean_ann",13.65,FALSE,""
"1996-2000","SPX options",3,1,"sd_ann",4.45,FALSE,""
"1996-2000","SPX options",3,1,"sharpe_ann",3.07,FALSE,""
"1996-2000","SPX options",3,1,"alpha_ann",14.26,FALSE,""
"1996-2000","SPX options",3,1,"beta",-0.06,FALSE,""
"1996-2000","SPX options",3,1,"hsd_ann",4.37,FALSE,""
"1996-2000","SPX options",3,1,"appraisal_ann",3.26,FALSE,""
"1996-2000","SPX options",3,3,"mean_ann",11.77,FALSE,""
"1996-2000","SPX options",3,3,"sd_ann",5.04,FALSE,""
"1996-2000","SPX options",3,3,"sharpe_ann",2.34,FALSE,""
"1996-2000","SPX options",3,3,"alpha_ann",12.85,FALSE,""
"1996-2000","SPX options",3,3,"beta",-0.1,FALSE,""
"1996-2000","SPX options",3,3,"hsd_ann",4.82,FALSE,""
"1996-2000","SPX options",3,3,"appraisal_ann",2.67,FALSE,""
"1996-2000","SPX options",3,5,"mean_ann",10.37,FALSE,""
"1996-2000","SPX options",3,5,"sd_ann",5.12,FALSE,""
"1996-2000","SPX options",3,5,"sharpe_ann",2.03,FALSE,""
"1996-2000","SPX options",3,5,"alpha_ann",11.68,FALSE,""
"1996-2000","SPX options",3,5,"beta",-0.12,FALSE,""
