"ticker","panel","leverage_pct","gamma","statistic","paper"
"SPX","unconstrained",2,1,"mean_effective_position_pct",1.02
"SPX","unconstrained",2,1,"sd_effective_position_pct",0.4
"SPX","solvency",2,1,"mean_effective_position_pct",1
"SPX","solvency",2,1,"sd_effective_position_pct",0.4
"SPX","unconstrained",2,3,"mean_effective_position_pct",0.99
"SPX","unconstrained",2,3,"sd_effective_position_pct",0.4
"SPX","solvency",2,3,"mean_effective_position_pct",0.97
"SPX","solvency",2,3,"sd_effective_position_pct",0.4
"SPX","unconstrained",2,5,"mean_effective_position_pct",0.97
"SPX","unconstrained",2,5,"sd_effective_position_pct",0.39
"SPX","solvency",2,5,"mean_effective_position_pct",0.95
"SPX","solvency",2,5,"sd_effective_position_pct",0.39
"SPX","unconstrained",3,1,"mean_effective_position_pct",1.87
"SPX","unconstrained",3,1,"sd_effective_position_pct",0.29
"SPX","solvency",3,1,"mean_effective_position_pct",1.76
"SPX","solvency",3,1,"sd_effective_position_pct",0.32
"SPX","unconstrained",3,3,"mean_effective_position_pct",1.77
"SPX","unconstrained",3,3,"sd_effective_position_pct",0.32
"SPX","solvency",3,3,"mean_effective_position_pct",1.69
"SPX","solvency",3,3,"sd_effective_position_pct",0.34
"SPX","unconstrained",3,5,"mean_effective_position_pct",1.69
"SPX","unconstrained",3,5,"sd_effective_position_pct",0.34
"SPX","solvency",3,5,"mean_effective_position_pct",1.64
"SPX","solvency",3,5,"sd_effective_position_pct",0.36
"SPX","unconstrained",5,1,"mean_effective_position_pct",3.21
"SPX","unconstrained",5,1,"sd_effective_position_pct",0.45
"SPX","solvency",5,1,"mean_effective_position_pct",2.9
"SPX","solvency",5,1,"sd_effective_position_pct",0.51
"SPX","unconstrained",5,3,"mean_effective_position_pct",2.96
"SPX","unconstrained",5,3,"sd_effective_position_pct",0.53
"SPX","solvency",5,3,"mean_effective_position_pct",2.75
"SPX","solvency",5,3,"sd_effective_position_pct",0.57
"SPX","unconstrained",5,5,"mean_effective_position_pct",2.79
"SPX","unconstrained",5,5,"sd_effective_position_pct",0.57
"SPX","solvency",5,5,"mean_effective_position_pct",2.63
"SPX","solvency",5,5,"sd_effective_position_pct",0.6
"NDX","unconstrained",2,1,"mean_effective_position_pct",1.12
"NDX","unconstrained",2,1,"sd_effective_position_pct",0.35
"NDX","solvency",2,1,"mean_effective_position_pct",1.12
"NDX","solvency",2,1,"sd_effective_position_pct",0.34
"NDX","unconstrained",2,3,"mean_effective_position_pct",1.11
"NDX","unconstrained",2,3,"sd_effective_position_pct",0.34
"NDX","solvency",2,3,"mean_effective_position_pct",1.11
"NDX","solvency",2,3,"sd_effective_position_pct",0.34
"NDX","unconstrained",2,5,"mean_effective_position_pct",1.07
"NDX","unconstrained",2,5,"sd_effective_position_pct",0.34
"NDX","solvency",2,5,"mean_effective_position_pct",1.07
"NDX","solvency",2,5,"sd_effective_position_pct",0.34
"NDX","unconstrained",3,1,"mean_effective_position_pct",1.92
"NDX","unconstrained",3,1,"sd_effective_position_pct",0.28
"NDX","solvency",3,1,"mean_effective_position_pct",1.91
"NDX","solvency",3,1,"sd_effective_position_pct",0.29
"NDX","unconstrained",3,3,"mean_effective_position_pct",1.85
"NDX","unconstrained",3,3,"sd_effective_position_pct",0.31
"NDX","solvency",3,3,"mean_effective_position_pct",1.84
"NDX","solvency",3,3,"sd_effective_position_pct",0.31
"NDX","unconstrained",3,5,"mean_effective_position_pct",1.73
"NDX","unconstrained",3,5,"sd_effective_position_pct",0.36
"NDX","solvency",3,5,"mean_effective_position_pct",1.73
"NDX","solvency",3,5,"sd_effective_position_pct",0.36
"NDX","unconstrained",5,1,"mean_effective_position_pct",3.32
"NDX","unconstrained",5,1,"sd_effective_position_pct",0.47
"NDX","solvency",5,1,"mean_effective_position_pct",3.21
"NDX","solvency",5,1,"sd_effective_position_pct",0.47
"NDX","unconstrained",5,3,"mean_effective_position_pct",2.98
"NDX","unconstrained",5,3,"sd_effective_position_pct",0.61
"NDX","solvency",5,3,"mean_effective_position_pct",2.91
"NDX","solvency",5,3,"sd_effective_position_pct",0.6
"NDX","unconstrained",5,5,"mean_effective_position_pct",2.7
"NDX","unconstrained",5,5,"sd_effective_position_pct",0.68
"NDX","solvency",5,5,"mean_effective_position_pct",2.65
"NDX","solvency",5,5,"sd_effective_position_pct",0.67
