"ticker","panel","leverage_pct","gamma","statistic","paper","diagnosed_numerical_exception","exception_reason"
"SPX","unconstrained",2,"1","mean_ann",5.79,FALSE,""
"SPX","unconstrained",2,"1","sd_ann",4.46,FALSE,""
"SPX","unconstrained",2,"1","sharpe_ann",1.3,FALSE,""
"SPX","unconstrained",2,"1","alpha_ann",5.04,FALSE,""
"SPX","unconstrained",2,"1","beta",0.1,FALSE,""
"SPX","unconstrained",2,"1","hsd_ann",4.06,FALSE,""
"SPX","unconstrained",2,"1","appraisal_ann",1.24,FALSE,""
"SPX","unconstrained",2,"3","mean_ann",5.67,FALSE,""
"SPX","unconstrained",2,"3","sd_ann",4.45,FALSE,""
"SPX","unconstrained",2,"3","sharpe_ann",1.27,FALSE,""
"SPX","unconstrained",2,"3","alpha_ann",4.97,FALSE,""
"SPX","unconstrained",2,"3","beta",0.1,FALSE,""
"SPX","unconstrained",2,"3","hsd_ann",4.1,FALSE,""
"SPX","unconstrained",2,"3","appraisal_ann",1.21,FALSE,""
"SPX","unconstrained",2,"5","mean_ann",5.41,FALSE,""
"SPX","unconstrained",2,"5","sd_ann",4,FALSE,""
"SPX","unconstrained",2,"5","sharpe_ann",1.35,FALSE,""
"SPX","unconstrained",2,"5","alpha_ann",4.82,FALSE,""
"SPX","unconstrained",2,"5","beta",0.08,FALSE,""
"SPX","unconstrained",2,"5","hsd_ann",3.72,FALSE,""
"SPX","unconstrained",2,"5","appraisal_ann",1.29,FALSE,""
"SPX","unconstrained",3,"1","mean_ann",10.59,FALSE,""
"SPX","unconstrained",3,"1","sd_ann",10.18,FALSE,""
"SPX","unconstrained",3,"1","sharpe_ann",1.04,FALSE,""
"SPX","unconstrained",3,"1","alpha_ann",8.54,FALSE,""
"SPX","unconstrained",3,"1","beta",0.28,FALSE,""
"SPX","unconstrained",3,"1","hsd_ann",8.84,FALSE,""
"SPX","unconstrained",3,"1","appraisal_ann",0.97,FALSE,""
"SPX","unconstrained",3,"3","mean_ann",9.89,FALSE,""
"SPX","unconstrained",3,"3","sd_ann",9.27,FALSE,""
"SPX","unconstrained",3,"3","sharpe_ann",1.07,FALSE,""
"SPX","unconstrained",3,"3","alpha_ann",8.13,FALSE,""
"SPX","unconstrained",3,"3","beta",0.24,FALSE,""
"SPX","unconstrained",3,"3","hsd_ann",8.19,FALSE,""
"SPX","unconstrained",3,"3","appraisal_ann",0.99,FALSE,""
"SPX","unconstrained",3,"5","mean_ann",9.28,FALSE,""
"SPX","unconstrained",3,"5","sd_ann",7.36,FALSE,""
"SPX","unconstrained",3,"5","sharpe_ann",1.26,FALSE,""
