gamma,leverage_pct,esr_pct_ann,mvr_pct_ann,skr_pct_ann,esr_minus_mvr_pp,esr_minus_skr_pp,one_minus_mvr_over_esr_pct,one_minus_skr_over_esr_pct
1,2,5.69,5.69,5.69,0.00,0.00,-0.01,0.00
3,2,5.36,5.37,5.36,-0.01,0.00,-0.11,0.00
5,2,4.98,5.00,4.98,-0.02,0.00,-0.48,-0.02
1,3,10.00,10.07,10.00,-0.07,0.00,-0.67,-0.05
3,3,8.11,8.58,8.18,-0.46,-0.07,-5.70,-0.82
5,3,7.48,7.88,7.52,-0.40,-0.05,-5.34,-0.62
1,5,13.23,14.51,13.69,-1.28,-0.46,-9.71,-3.51
3,5,11.69,12.69,11.88,-1.01,-0.20,-8.61,-1.69
5,5,11.11,11.72,11.19,-0.61,-0.08,-5.49,-0.68

