ticker,series,audited_reference_endpoint,maximum_relative_difference
SPX,unconstrained_gamma3_L2,7.011109142157126,0.005
SPX,solvency_gamma3_L2,6.050653535344058,0.005
SPX,unconstrained_gamma3_L3,18.146480224756846,0.005
SPX,solvency_gamma3_L3,11.904352832977581,0.005
SPX,unconstrained_gamma3_L5,60.10190114228567,0.005
SPX,solvency_gamma3_L5,24.24266761759118,0.005
SPX,index_price_relative,6.211020541245517,0.005
NDX,unconstrained_gamma3_L2,10.659442987937346,0.005
NDX,solvency_gamma3_L2,10.511052401321493,0.005
NDX,unconstrained_gamma3_L3,34.50355095640552,0.005
NDX,solvency_gamma3_L3,30.393683294996013,0.005
NDX,unconstrained_gamma3_L5,191.450236943648,0.005
NDX,solvency_gamma3_L5,127.63833433748057,0.005
NDX,index_price_relative,22.71094967177243,0.005
DJX,unconstrained_gamma3_L2,3.775126463985663,0.005
DJX,solvency_gamma3_L2,3.269650251973982,0.005
DJX,unconstrained_gamma3_L3,4.907594299569456,0.005
DJX,solvency_gamma3_L3,3.609231683741018,0.005
DJX,unconstrained_gamma3_L5,6.194707964815125,0.005
DJX,solvency_gamma3_L5,3.474870869527385,0.005
DJX,index_price_relative,3.921222562962071,0.005
